 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  10:58:48
 Units: L = cm   , T = days , M = mmol 



                               Node( 91)

         time         h        theta    Temp   
         57.0743      -72.28  0.2700   20.000
         57.0976      -72.30  0.2700   20.000
         57.1279      -72.34  0.2699   20.000
         57.1673      -72.38  0.2699   20.000
         57.2185      -72.43  0.2698   20.000
         57.2850      -72.51  0.2697   20.000
         57.3744      -72.60  0.2696   20.000
         57.4787      -72.71  0.2694   20.000
         57.6090      -72.85  0.2693   20.000
         57.8045      -73.06  0.2690   20.000
         58.0000      -73.26  0.2687   20.000
         58.0010      -73.26  0.2687   20.000
         58.0023      -73.26  0.2687   20.000
         58.0040      -73.27  0.2687   20.000
         58.0062      -73.27  0.2687   20.000
         58.0090      -73.27  0.2687   20.000
         58.0128      -73.27  0.2687   20.000
         58.0176      -73.28  0.2687   20.000
         58.0239      -73.29  0.2687   20.000
         58.0320      -73.29  0.2687   20.000
         58.0426      -73.31  0.2687   20.000
         58.0564      -73.32  0.2686   20.000
         58.0743      -73.34  0.2686   20.000
         58.0976      -73.36  0.2686   20.000
         58.1279      -73.40  0.2686   20.000
         58.1673      -73.44  0.2685   20.000
         58.2067      -73.48  0.2684   20.000
         58.2578      -73.53  0.2684   20.000
         58.3090      -73.58  0.2683   20.000
         58.3781      -73.65  0.2682   20.000
         58.4472      -73.73  0.2681   20.000
         58.5163      -73.80  0.2680   20.000
         58.5969      -73.88  0.2679   20.000
         58.6977      -73.98  0.2678   20.000
         58.7985      -74.09  0.2676   20.000
         58.8992      -74.19  0.2675   20.000
         59.0000      -74.29  0.2674   20.000
         59.0010      -74.29  0.2674   20.000
         59.0023      -74.29  0.2674   20.000
         59.0040      -74.29  0.2674   20.000
         59.0062      -74.30  0.2674   20.000
         59.0090      -74.30  0.2674   20.000
         59.0128      -74.30  0.2674   20.000
         59.0176      -74.31  0.2674   20.000
         59.0239      -74.31  0.2673   20.000
         59.0320      -74.32  0.2673   20.000
         59.0426      -74.33  0.2673   20.000
         59.0564      -74.35  0.2673   20.000
         59.0743      -74.37  0.2673   20.000
         59.0976      -74.39  0.2672   20.000
         59.1279      -74.42  0.2672   20.000
         59.1673      -74.46  0.2672   20.000
         59.2185      -74.51  0.2671   20.000
         59.2850      -74.58  0.2670   20.000
         59.3744      -74.67  0.2669   20.000
         59.4787      -74.77  0.2667   20.000
         59.6090      -74.90  0.2666   20.000
         59.8045      -75.09  0.2663   20.000
         60.0000      -75.28  0.2661   20.000
         60.0010      -75.28  0.2661   20.000
         60.0023      -75.28  0.2661   20.000
         60.0040      -75.28  0.2661   20.000
         60.0062      -75.28  0.2661   20.000
         60.0090      -75.29  0.2661   20.000
         60.0128      -75.29  0.2661   20.000
         60.0176      -75.29  0.2661   20.000
         60.0239      -75.30  0.2661   20.000
         60.0320      -75.31  0.2660   20.000
         60.0426      -75.32  0.2660   20.000
         60.0564      -75.33  0.2660   20.000
         60.0743      -75.35  0.2660   20.000
         60.0976      -75.37  0.2660   20.000
         60.1279      -75.40  0.2659   20.000
         60.1673      -75.44  0.2659   20.000
         60.2185      -75.49  0.2658   20.000
         60.2850      -75.55  0.2657   20.000
         60.3744      -75.64  0.2656   20.000
         60.4787      -75.75  0.2655   20.000
         60.6090      -75.89  0.2654   20.000
         60.8045      -76.06  0.2652   20.000
         61.0000      -76.21  0.2650   20.000
         61.0010      -76.21  0.2650   20.000
         61.0023      -76.21  0.2650   20.000
         61.0040      -76.21  0.2650   20.000
         61.0062      -76.21  0.2650   20.000
         61.0090      -76.21  0.2650   20.000
         61.0128      -76.22  0.2650   20.000
         61.0176      -76.22  0.2650   20.000
         61.0239      -76.23  0.2650   20.000
         61.0320      -76.23  0.2650   20.000
         61.0426      -76.24  0.2650   20.000
         61.0564      -76.25  0.2650   20.000
         61.0743      -76.26  0.2650   20.000
         61.0976      -76.28  0.2650   20.000
         61.1279      -76.30  0.2650   20.000
         61.1673      -76.32  0.2649   20.000
         61.2185      -76.35  0.2649   20.000
         61.2850      -76.38  0.2649   20.000
         61.3744      -76.41  0.2648   20.000
         61.4787      -76.44  0.2648   20.000
         61.6090      -76.44  0.2648   20.000
         61.8045      -76.36  0.2649   20.000
         62.0000      -76.18  0.2651   20.000
         62.0010      -76.19  0.2651   20.000
         62.0023      -76.19  0.2651   20.000
         62.0040      -76.19  0.2651   20.000
         62.0062      -76.18  0.2651   20.000
         62.0090      -76.18  0.2651   20.000
         62.0128      -76.18  0.2651   20.000
         62.0176      -76.17  0.2651   20.000
         62.0239      -76.17  0.2651   20.000
         62.0320      -76.16  0.2651   20.000
         62.0426      -76.15  0.2651   20.000
         62.0564      -76.13  0.2651   20.000
         62.0743      -76.11  0.2651   20.000
         62.0976      -76.09  0.2652   20.000
         62.1279      -76.05  0.2652   20.000
         62.1673      -76.00  0.2653   20.000
         62.2185      -75.92  0.2653   20.000
         62.2850      -75.80  0.2654   20.000
         62.3744      -75.63  0.2656   20.000
         62.4787      -75.41  0.2659   20.000
         62.6090      -75.04  0.2664   20.000
         62.8045      -74.27  0.2674   20.000
         63.0000      -73.24  0.2688   20.000
         63.0010      -73.23  0.2688   20.000
         63.0023      -73.23  0.2688   20.000
         63.0040      -73.22  0.2688   20.000
         63.0062      -73.21  0.2688   20.000
         63.0090      -73.19  0.2688   20.000
         63.0128      -73.17  0.2688   20.000
         63.0176      -73.14  0.2689   20.000
         63.0239      -73.11  0.2689   20.000
         63.0320      -73.07  0.2690   20.000
         63.0426      -73.01  0.2691   20.000
         63.0564      -72.93  0.2692   20.000
         63.0743      -72.83  0.2693   20.000
         63.0976      -72.69  0.2695   20.000
         63.1279      -72.50  0.2697   20.000
         63.1673      -72.25  0.2700   20.000
         63.2185      -71.90  0.2705   20.000
         63.2850      -71.42  0.2711   20.000
         63.3744      -70.70  0.2721   20.000
         63.4787      -69.79  0.2733   20.000
         63.6090      -68.48  0.2750   20.000
         63.8045      -66.15  0.2780   20.000
         64.0000      -63.47  0.2815   20.000
         64.0010      -63.49  0.2815   20.000
         64.0023      -63.47  0.2816   20.000
         64.0040      -63.45  0.2816   20.000
         64.0062      -63.42  0.2816   20.000
         64.0090      -63.38  0.2817   20.000
         64.0128      -63.32  0.2817   20.000
         64.0176      -63.26  0.2818   20.000
         64.0239      -63.17  0.2819   20.000
         64.0320      -63.06  0.2821   20.000
         64.0426      -62.91  0.2823   20.000
         64.0564      -62.71  0.2826   20.000
         64.0743      -62.45  0.2829   20.000
         64.0976      -62.11  0.2833   20.000
         64.1279      -61.67  0.2839   20.000
         64.1673      -61.08  0.2847   20.000
         64.2185      -60.30  0.2857   20.000
         64.2850      -59.39  0.2871   20.000
         64.3744      -58.12  0.2892   20.000
         64.4787      -56.63  0.2917   20.000
         64.6090      -54.79  0.2948   20.000
         64.8045      -52.23  0.2991   20.000
         65.0000      -49.93  0.3030   20.000
         65.2500      -47.48  0.3072   20.000
         65.6250      -45.33  0.3119   20.000
         66.0000      -43.79  0.3149   20.000
         66.5000      -42.88  0.3169   20.000
         67.0000      -42.50  0.3176   20.000
         67.5000      -42.60  0.3174   20.000
         68.0000      -42.98  0.3165   20.000
         69.0000      -44.24  0.3138   20.000
         70.0000      -45.74  0.3107   20.000
         71.0000      -47.22  0.3076   20.000
         72.0000      -48.94  0.3047   20.000
         73.0000      -50.65  0.3018   20.000
         74.0000      -52.37  0.2989   20.000
         75.0000      -54.03  0.2961   20.000
         76.0000      -55.63  0.2934   20.000
         76.0010      -55.64  0.2934   20.000
         76.0023      -55.64  0.2934   20.000
         76.0040      -55.64  0.2934   20.000
         76.0062      -55.64  0.2934   20.000
         76.0090      -55.65  0.2934   20.000
         76.0128      -55.66  0.2934   20.000
         76.0176      -55.66  0.2934   20.000
